"id","name","provider","context_length","max_output_tokens","input_modalities","output_modalities","endpoints","pricing_unit","prompt_usd","completion_usd","second_usd","480p_usd","720p_usd","1080p_usd","supported_parameters"
"minimax/minimax-m2.7","MiniMax M2.7","minimax","204800","131072","text","text","chat","usd_per_million_tokens","0.10000000","0.10000000","","","","","frequency_penalty|include_reasoning|logit_bias|logprobs|max_tokens|min_p|presence_penalty|reasoning|repetition_penalty|response_format|stop|structured_outputs|temperature|tool_choice|tools|top_k|top_logprobs|top_p"
"moonshotai/kimi-k2.5","Kimi K2.5","moonshotai","262144","65535","image|text","text","chat","usd_per_million_tokens","0.08000000","0.38000000","","","","","frequency_penalty|include_reasoning|logit_bias|logprobs|max_tokens|min_p|parallel_tool_calls|presence_penalty|reasoning|repetition_penalty|response_format|seed|stop|structured_outputs|temperature|tool_choice|tools|top_k|top_logprobs|top_p"
"openai/gpt-5.3-codex","GPT 5.3 Codex","openai","400000","128000","image|text","text","chat|responses","usd_per_million_tokens","0.13000000","0.13000000","","","","","include_reasoning|max_completion_tokens|max_tokens|reasoning|response_format|seed|structured_outputs|tool_choice|tools"
"openai/gpt-5.4","GPT 5.4","openai","1050000","128000","image|text","text","chat|responses","usd_per_million_tokens","0.15000000","0.15000000","","","","","input|instructions|max_output_tokens|max_tokens|messages|metadata|prompt|reasoning|response_format|seed|stop|system|temperature|text|thinking|tool_choice|tools|top_p|user"
"openai/gpt-5.4-mini","GPT 5.4 Mini","openai","400000","128000","image|text","text","chat|responses","usd_per_million_tokens","0.10000000","0.10000000","","","","","input|instructions|max_output_tokens|max_tokens|messages|reasoning|response_format|seed|stop|temperature|text|tool_choice|tools|top_p|user"
"openai/gpt-5.5","GPT 5.5","openai","1050000","128000","image|text","text","chat|responses","usd_per_million_tokens","0.20000000","0.20000000","","","","","include_reasoning|max_completion_tokens|max_tokens|reasoning|response_format|seed|structured_outputs|tool_choice|tools"
"openai/gpt-image-2","GPT Image 2","openai","272000","","text","image","chat|images_generations","usd_per_million_tokens","0.80000000","1.50000000","","","","","aspect_ratio|enable_base64_output|model|prompt|quality|resolution"
"openai/gpt-image-2-edit","GPT Image 2 Edit","openai","","","image|text","image","chat|images_generations|images_edits","usd_per_million_tokens","0.80000000","1.50000000","","","","","aspect_ratio|enable_base64_output|images|model|prompt|quality|resolution|response_format|size"
"qwen/qwen3.6-plus","Qwen 3.6 Plus","qwen","1000000","65536","text","text","chat","usd_per_million_tokens","0.10000000","0.10000000","","","","","include_reasoning|max_tokens|presence_penalty|reasoning|response_format|seed|structured_outputs|temperature|tool_choice|tools|top_p"
"z-ai/glm-5.1","GLM 5.1","z-ai","202752","65536","text","text","chat","usd_per_million_tokens","0.10000000","0.10000000","","","","","frequency_penalty|include_reasoning|logit_bias|logprobs|max_tokens|min_p|parallel_tool_calls|presence_penalty|reasoning|reasoning_effort|repetition_penalty|response_format|seed|stop|structured_outputs|temperature|tool_choice|tools|top_k|top_logprobs|top_p"
